,A,B
0,TIMP1,LRP1
1,MMP9,LRP1
2,LTB,LTBR
3,LTA,LTBR
4,ITGAV,ADGRB1
5,ITGB5,ADGRB1
6,ITGAV,ADGRA2
7,ITGB3,ADGRA2
8,ITGAV,ADGRE5
9,ITGB3,ADGRE5
10,ITGA5,ADGRE5
11,ITGB1,ADGRE5
12,INHBA,ACVR1B
13,INHBA,ACVR2B
14,INHBB,ACVR1B
15,INHBB,ACVR2B
16,INHBA,ACVR1C
17,INHBB,ACVR1C
18,INHBA,ACVR2A
19,INHBB,ACVR2A
20,EBI3,IL27RA
21,EBI3,IL6ST
22,IL27,IL27RA
23,IL27,IL6ST
24,IL12B,IL12RB1
25,IL12B,IL23R
26,IL23A,IL12RB1
27,IL23A,IL23R
28,IL12A,IL12RB1
29,IL12A,IL12RB2
30,IL12B,IL12RB2
31,IL27,IL12RB2
32,IL12A,IL27RA
33,EBI3,IL12RB2
34,IL12A,IL6ST
35,IGHG1,FCGR2B
36,IGLC1,FCGR2B
37,IGHG1,FCGR3B
38,IGLC1,FCGR3B
39,BMP15,BMPR1B
40,BMP15,BMPR2
41,BMP15,ACVR1B
42,GDF9,BMPR1B
43,GDF9,BMPR2
44,GDF9,ACVR1B
45,UNC5D,ADGRL3
46,FLRT2,ADGRL3
47,FGA,ITGA2B
48,FGA,ITGB3
49,FGG,ITGA2B
50,FGG,ITGB3
51,FGB,ITGA2B
52,FGB,ITGB3
53,FGA,ITGB2
54,FGA,ITGAM
55,FGG,ITGB2
56,FGG,ITGAM
57,FGB,ITGB2
58,FGB,ITGAM
59,FGA,TLR4
60,FGG,TLR4
61,FGB,TLR4
62,IL34,CSF1R
63,CSF1,CSF1R
64,CLCF1,CNTFR
65,CLCF1,IL6ST
66,CRLF1,CNTFR
67,CRLF1,IL6ST
68,ZG16B,CXCR4
69,ZG16B,TLR2
70,FGF2,FGFR1
71,FGF2,TGFBR3
72,TGFB2,TGFBR1
73,TGFB2,TGFBR2
74,TGFB3,TGFBR1
75,TGFB3,TGFBR2
76,TGFB1,TGFBR1
77,TGFB1,TGFBR2
78,IL37,IL18R1
79,IL37,SIGIRR
80,WNT7A,ADGRA2
81,WNT7A,RECK
82,WNT7A,FZD5
83,WNT7A,LRP6
84,WNT7B,ADGRA2
85,WNT7B,RECK
86,WNT7B,FZD5
87,WNT7B,LRP6
88,WNT7A,LRP5
89,WNT7B,LRP5
90,ADM,CALCRL
91,ADM,RAMP3
92,IAPP,CALCRL
93,IAPP,RAMP3
94,ADM,CALCR
95,ADM,RAMP2
96,IAPP,RAMP2
97,IAPP,RAMP1
98,CALCA,CALCRL
99,CALCA,RAMP1
100,CALCB,CALCRL
101,CALCB,RAMP1
102,SEMA3C,NRP1
103,SEMA3C,PLXND1
104,SEMA3G,NRP2
105,SEMA3G,PLXND1
106,SEMA3A,NRP1
107,SEMA3A,PLXNA4
108,SEMA3A,PLXNA3
109,SEMA3A,PLXNA2
110,SEMA6A,NRP1
111,SEMA6A,PLXNA2
112,SEMA3B,PLXNA4
113,SEMA3B,PLXNA2
114,SEMA3B,NRP1
115,SEMA3B,NRP2
116,SEMA3A,PLXNA1
117,IL31,IL31RA
118,IL31,OSMR
119,SEMA4D,PLXNB1
120,SEMA4D,MET
121,SEMA5A,PLXNB3
122,SEMA5A,MET
123,WNT10A,FZD1
124,WNT10A,LRP6
125,WNT3,FZD1
126,WNT3,LRP6
127,WNT7A,FZD1
128,WNT7B,FZD1
129,WNT9A,FZD1
130,WNT9A,LRP6
131,WNT5B,FZD1
132,WNT5B,LRP6
133,WNT1,FZD1
134,WNT1,LRP6
135,WNT2,FZD1
136,WNT2,LRP6
137,WNT3A,FZD1
138,WNT3A,LRP6
139,WNT5A,FZD1
140,WNT5A,LRP6
141,WNT7A,FZD10
142,WNT3,FZD10
143,WNT3A,FZD10
144,WNT7B,FZD10
145,WNT9A,FZD10
146,WNT9B,FZD10
147,WNT9B,LRP6
148,WNT1,FZD2
149,WNT3,FZD2
150,WNT3A,FZD2
151,WNT7B,FZD2
152,WNT5B,FZD2
153,WNT5A,FZD2
154,WNT2,FZD3
155,WNT3A,FZD3
156,WNT5A,FZD3
157,WNT1,FZD4
158,WNT3,FZD4
159,WNT3A,FZD4
160,WNT9A,FZD4
161,WNT9B,FZD4
162,WNT5B,FZD4
163,WNT2,FZD4
164,WNT2B,FZD4
165,WNT2B,LRP6
166,WNT7B,FZD4
167,WNT1,FZD5
168,WNT10A,FZD5
169,WNT3,FZD5
170,WNT8A,FZD5
171,WNT8A,LRP6
172,WNT8B,FZD5
173,WNT8B,LRP6
174,WNT9A,FZD5
175,WNT9B,FZD5
176,WNT5B,FZD5
177,WNT3A,FZD5
178,WNT5A,FZD5
179,WNT10B,FZD6
180,WNT10B,LRP6
181,WNT5B,FZD6
182,WNT3A,FZD6
183,WNT4,FZD6
184,WNT4,LRP6
185,WNT5A,FZD6
186,WNT1,FZD7
187,WNT7A,FZD7
188,WNT7B,FZD7
189,WNT10B,FZD7
190,WNT5B,FZD7
191,WNT3,FZD7
192,WNT3A,FZD7
193,WNT5B,FZD8
194,WNT1,FZD8
195,WNT10A,FZD8
196,WNT3,FZD8
197,WNT7A,FZD8
198,WNT7B,FZD8
199,WNT8A,FZD8
200,WNT8B,FZD8
201,WNT9A,FZD8
202,WNT9B,FZD8
203,WNT3A,FZD8
204,WNT9A,FZD9
205,WNT9A,EGFR
206,WNT7A,FZD9
207,WNT2,FZD9
208,RSPO1,KREMEN1
209,RSPO1,LRP6
210,DKK1,KREMEN1
211,DKK1,LRP6
212,DKK2,KREMEN1
213,DKK2,LRP6
214,DKK4,KREMEN1
215,DKK4,LRP6
216,DKK1,KREMEN2
217,DKK2,KREMEN2
218,DKK4,KREMEN2
219,WNT10A,LRP5
220,WNT3,LRP5
221,WNT9A,LRP5
222,WNT5B,LRP5
223,WNT1,LRP5
224,WNT2,LRP5
225,WNT3A,LRP5
226,WNT5A,LRP5
227,WNT9B,LRP5
228,WNT5A,FZD4
229,WNT2B,LRP5
230,NDP,FZD4
231,NDP,LRP5
232,WNT8A,LRP5
233,WNT8B,LRP5
234,WNT10B,LRP5
235,WNT4,LRP5
236,CNTF,CNTFR
237,CNTF,LIFR
238,CNTF,IL6ST
239,HLA-E,KLRD1
240,HLA-E,KLRC2
241,HLA-E,KLRC1
242,PGF,FLT1
243,PGF,KDR
244,VEGFB,FLT1
245,VEGFB,KDR
246,VEGFA,FLT1
247,VEGFA,KDR
248,SEMA6D,PLXNA1
249,SEMA6D,KDR
250,VTN,ITGAV
251,VTN,ITGB5
252,PLAUR,ITGAV
253,PLAUR,ITGB5
254,FCER2,ITGAV
255,FCER2,ITGB5
256,ADAM9,ITGAV
257,ADAM9,ITGB5
258,L1CAM,ITGA2B
259,L1CAM,ITGB3
260,CD40LG,ITGA2B
261,CD40LG,ITGB3
262,FN1,ITGA2B
263,FN1,ITGB3
264,SPP1,ITGAV
265,SPP1,ITGB3
266,L1CAM,ITGAV
267,NID1,ITGAV
268,NID1,ITGB3
269,ANGPTL3,ITGAV
270,ANGPTL3,ITGB3
271,FGF1,ITGAV
272,FGF1,ITGB3
273,MMP2,ITGAV
274,MMP2,ITGB3
275,FBN1,ITGAV
276,FBN1,ITGB3
277,FGF2,ITGAV
278,FGF2,ITGB3
279,EDIL3,ITGAV
280,EDIL3,ITGB3
281,THY1,ITGAV
282,THY1,ITGB3
283,FCER2,ITGB3
284,PLAUR,ITGB3
285,VTN,ITGB3
286,FN1,ITGAV
287,ICAM5,ITGAL
288,ICAM5,ITGB2
289,HP,ITGAM
290,HP,ITGB2
291,THY1,ITGAM
292,THY1,ITGB2
293,CD40LG,ITGAM
294,CD40LG,ITGB2
295,THY1,ITGAX
296,ICAM1,ITGAX
297,ICAM1,ITGB2
298,TIMP1,CD63
299,TIMP1,ITGB1
300,ADAM9,ITGA1
301,ADAM9,ITGB1
302,CSPG4,ITGA2
303,CSPG4,ITGB1
304,CSPG4,ITGA3
305,TIMP2,ITGA3
306,TIMP2,ITGB1
307,ADAM9,ITGA3
308,CSPG4,ITGA4
309,CD14,ITGA4
310,CD14,ITGB1
311,ADAM28,ITGA4
312,ADAM28,ITGB1
313,ANGPT1,ITGA5
314,ANGPT1,ITGB1
315,FBN1,ITGA5
316,FBN1,ITGB1
317,ANGPT2,ITGA5
318,ANGPT2,ITGB1
319,ADAM17,ITGA5
320,ADAM17,ITGB1
321,ADAM9,ITGA6
322,TSPAN1,ITGA6
323,TSPAN1,ITGB1
324,VTN,ITGA8
325,VTN,ITGB1
326,PLG,ITGA9
327,PLG,ITGB1
328,L1CAM,ITGB1
329,FCER2,ITGB2
330,FCER2,ITGAX
331,C3,ITGB2
332,C3,ITGAX
333,FCER2,CD47
334,SPP1,ITGB1
335,FN1,ITGB1
336,TNC,ITGB3
337,TNC,ITGAV
338,SPP1,ITGB5
339,FN1,ITGB6
340,VCAM1,ITGB2
341,VCAM1,ITGAM
342,FCER2,ITGAM
343,JAM3,ITGB2
344,JAM3,ITGAM
345,GP1BA,ITGB2
346,GP1BA,ITGAM
347,C3,ITGAM
348,ICAM2,ITGB2
349,ICAM2,ITGAL
350,ICAM3,ITGB2
351,ICAM3,ITGAL
352,F11R,ITGB2
353,F11R,ITGAL
354,ICAM4,ITGB2
355,ICAM4,ITGAL
356,ICAM1,ITGAL
357,CDH1,ITGB7
358,CDH1,ITGAE
359,ICAM3,ITGAD
360,VCAM1,ITGAD
361,SPP1,ITGA9
362,VCAM1,ITGB1
363,VCAM1,ITGA9
364,F13A1,ITGB1
365,F13A1,ITGA9
